Bunny Kendall was born! (8 years old, female, black)
Bunny Noel was born! (5 years old, female, white)
Bunny Frances was born! (4 years old, female, spotted)
Bunny Robin was born! (4 years old, female, black)
Bunny Shawn was born! (1 years old, female, brown)
Bunny Kendall died! (10 years old, female, black)
Bunny Noel died! (10 years old, female, white)
Bunny Frances died! (11 years old, female, spotted)
Bunny Robin died! (11 years old, female, black)
Bunny Shawn died! (9 years old, female, brown)
